Surname             First name          Subject        Average
Popa                Ioana               History         0.00
Rebengiuc           Victor              History         0.00
Rebengiuc           Victor              History         0.00
Rebengiuc           Victor              History         0.00
Ionescu             Gelu                History         0.00
Radulescu           Ana-Maria           History         0.00
Moldovan            Stefan              History         0.00
Radulescu           Ana-Maria           History         0.00
Moldovan            Stefan              History         0.00
Moldovan            Stefan              History         0.00
Radulescu           Ana-Maria           History         0.00
Popa                Ioana               History         0.00
Ionescu             Gelu                History         0.00
Popa                Ioana               History         0.00
Popa                Ioana               History         0.00
Ionescu             Gelu                History         0.00
Todoran             Temistocle          History         0.00
Todoran             Temistocle          History         0.00
Todoran             Temistocle          History         0.00
Ionescu             Gelu                Math            7.50
Ionescu             Gelu                Math            7.50
Ionescu             Gelu                Math            7.50
Rebengiuc           Victor              Math            7.00
Rebengiuc           Victor              Math            7.00
Rebengiuc           Victor              Math            7.00
Radulescu           Ana-Maria           Math            6.00
Radulescu           Ana-Maria           Math            6.00
Radulescu           Ana-Maria           Math            6.00
Popa                Ioana               Math            0.00
Popescu             Jennifer            Math            0.00
Popa                Ioana               Math            0.00
Popescu             Jennifer            Math            0.00
Todoran             Temistocle          Math            0.00
Popa                Ioana               Math            0.00
Moldovan            Stefan              Math            0.00
Popa                Ioana               Math            0.00
Muresan             Ionel               Math            0.00
Popa                Ioana               Math            0.00
Moldovan            Stefan              Math            0.00
Popa                Ioana               Math            0.00
Todoran             Temistocle          Math            0.00
Tanase              Ceorgeta            Math            0.00
Popescu             Jennifer            Math            0.00
Moldovan            Stefan              Math            0.00
Tanase              Ceorgeta            Math            0.00
Muresan             Ionel               Math            0.00
Tanase              Ceorgeta            Math            0.00
Todoran             Temistocle          Math            0.00
Muresan             Ionel               Math            0.00
